kic,prot,teff
8418220,21.649,5538
4679110,28.004,4821
4385761,15.155,5288
11244453,8.971,6023
6610530,33.622,4848
6424778,18.217,5594
6946871,2.203,6490
4907576,27.739,4799
8476384,27.596,5315
4909473,4.406,6128
5773135,27.643,4989
8161589,23.409,5671
7422281,17.931,5654
4904088,2.529,6200
5297346,9.375,5110
3938241,16.781,3769
8873448,3.456,3919
11753667,2.831,4939
7703219,19.996,4910
10267590,15.116,3790
7022598,19.413,3608
3236788,5.429,5674
4659608,28.737,4449
8624918,30.968,4820
8153942,20.303,4765
9109003,28.392,4907
6372718,18.915,5999
7283959,10.038,5096
8554446,13.659,6146
8246379,17.985,5820
6515731,35.79,4806
9994206,18.306,5663
9287933,20.416,5568
9226525,14.467,5683
11549696,8.559,5716
4355501,25.161,5384
4480250,27.504,4037
6107266,4.379,6128
3648721,2.523,6190
9512162,19.42,3907
7886049,1.497,4467
893647,8.829,4712
5907881,21.49,5550
11499205,18.295,5618
2019900,5.975,6187
12056765,20.735,4102
7939051,17.245,4961
7267381,23.324,4403
3831289,28.409,4627
7751278,8.59,5869
10119109,26.292,4873
7551695,3.915,4048
5177000,11.439,5427
4569832,4.307,5982
10965333,25.001,5390
8037466,18.727,5496
9201411,37.639,4105
9887628,19.355,5598
7544521,7.371,5244
9846463,18.973,5782
7257681,19.338,5035
5033905,27.555,4426
3327068,4.519,4875
7024901,9.261,5060
6545529,32.325,5315
11464130,2.995,6448
10579554,28.985,5074
8940708,19.006,3823
5791190,18.454,5326
4375393,14.307,6150
7201995,8.683,5729
10082941,2.723,6432
11413985,33.843,4821
9075993,12.01,5414
9588514,20.505,3577
8557171,24.913,5142
3540780,26.697,5383
9882662,28.075,5286
5613532,26.146,5077
11243831,14.46,3890
8182250,19.711,5585
11234457,18.727,5396
5179724,10.524,4935
10579337,22.822,4780
8264548,19.874,4928
2831370,19.63,5645
11774350,28.274,3587
9034074,11.058,6134
5977477,27.81,4290
8240881,13.432,5190
3441423,12.503,5601
9643212,31.884,4797
10482340,19.799,5555
6204758,33.663,4920
8446325,18.542,5426
11043281,12.708,5681
5195727,23.496,4259
10146386,23.55,5588
9019565,16.384,5550
12353640,34.647,4617
2695222,3.702,5694
7906811,15.08,5691
8105265,21.734,4159
9141881,4.112,5785
9474239,6.135,5633
11402156,20.566,4310
5015744,23.066,4820
2556279,3.317,6342
2832484,3.646,5505
11708609,22.201,5643
5171909,22.14,5194
10450882,37.175,5024
7594770,2.648,5636
6717610,11.411,5443
10032516,16.75,5590
7102876,10.932,5952
3242050,12.932,5250
8939987,33.567,4710
9906862,22.069,4683
10982750,18.154,5369
11666295,14.476,5557
4918333,19.854,3718
5939736,31.055,5170
11121569,29.486,4632
7464361,1.792,6398
11138903,18.967,5533
12009086,30.34,4515
9481887,16.623,5866
6423605,30.751,5103
7060301,12.463,5444
10121126,7.458,6464
6358735,33.541,3552
9716008,10.067,5945
9283985,4.656,6405
5715752,7.554,5552
6220300,20.305,5431
8962137,22.603,3514
3850729,38.752,5314
5307845,32.845,5253
10462310,3.571,6352
8195297,29.919,5051
9778224,37.448,4354
8358946,3.947,5711
8806713,30.867,5079
7284498,17.514,5309
9095110,5.274,4935
6232989,28.986,5670
3863928,7.923,5556
6869776,25.269,5324
12169827,31.989,5140
5482415,1.869,5752
8233588,11.894,5919
9347979,29.371,4314
8327990,0.501,4552
6525026,13.121,6226
12470281,6.536,6202
9673891,3.107,6159
5354845,7.902,5350
7627107,31.319,4109
9909232,27.437,4329
9897060,29.122,5998
8509824,2.319,6311
4838459,6.806,5322
8211801,6.385,5583
10670221,34.952,5066
4651312,29.427,5068
12061977,20.571,5709
3330261,26.347,4807
10141132,17.873,4831
9224698,6.877,5073
6038355,8.089,5659
8635480,6.804,5773
11341527,13.638,5646
5392431,9.592,5161
8804147,38.53,3956
9229171,6.979,5509
10843566,21.724,3963
5301441,13.034,5852
11497377,27.993,5197
12506956,24.478,4928
5374723,28.015,5328
11407896,10.46,4815
9291754,33.219,4879
12736892,2.65,5039
8179177,11.682,5946
6431431,4.516,5801
9012171,27.422,5436
10904343,3.063,6456
10226001,16.9,5860
9141609,27.996,4617
3842433,13.422,6004
3222610,4.91,4097
6706050,7.352,5835
5939072,23.728,4434
11802265,17.334,3644
4381114,32.261,4798
12643890,19.993,5078
8582151,10.777,5104
8985384,22.628,4875
8008835,17.232,4912
8181016,0.713,5179
5257177,15.505,5565
10914339,8.786,5558
5254309,15.0,3966
10528243,10.638,4871
5194631,17.975,5064
8843859,10.344,4297
11454108,27.435,5488
9935067,15.791,5582
5716131,14.118,5911
12400940,26.069,4106
8590354,11.387,5381
4383270,0.823,5225
9726020,2.133,4581
9696929,31.032,5232
6428698,28.813,4367
8114703,9.511,5307
10153506,19.804,5235
11137684,19.35,5842
5373525,32.337,5104
9176383,39.64,3675
6021998,3.034,6371
10002203,19.165,5253
6444981,11.943,5358
9487552,15.603,5529
3353601,24.033,5119
7812977,16.459,5947
5544227,1.757,6242
9326538,25.945,4190
6445061,21.397,5470
11029754,13.762,4813
9970848,22.207,5595
11924264,22.877,4290
7521850,33.571,5097
4379563,9.253,4919
5939163,22.079,5542
3733537,5.975,5951
4357578,32.622,5179
7668857,9.183,4573
7301333,27.947,5473
2158543,20.826,4838
9702201,18.166,5503
5095980,19.678,5528
5723318,2.526,6201
7773885,13.143,5275
8264134,11.07,4970
3559411,35.841,4930
7552002,14.218,4570
8564261,16.428,5507
9529787,31.67,4154
4914771,13.026,5677
9017238,34.067,4770
12017255,19.58,5666
10388647,32.152,4800
9594726,9.658,4974
10842952,26.929,4079
5900600,14.043,3858
8687869,11.391,5764
11752614,26.91,4804
7750330,15.716,5535
10793443,7.344,5562
5207655,2.546,6154
11763903,10.456,6112
3328254,31.578,3509
12216897,28.483,4124
7973122,28.221,5030
6290740,15.164,6342
8197923,4.045,4834
10219271,5.972,5563
6045006,18.546,4845
6947058,9.673,5741
6044768,35.231,4944
7739127,34.829,4150
8442718,0.93,6499
6279323,23.019,5639
7513681,34.032,4785
8053780,8.955,4671
8494217,5.835,6220
5471091,1.089,6294
7456981,32.062,4174
8673891,14.927,4822
6231124,5.527,5865
9097199,3.737,5636
6548429,7.632,5606
4738722,13.569,5222
10056408,5.094,5420
6123205,4.337,4461
5114994,6.276,6235
10470126,20.578,5909
11465987,1.504,5006
9717563,16.189,5550
5512513,0.781,4582
10553563,26.055,4638
4075608,9.09,5854
10336624,33.337,3541
8162452,33.959,4214
7466155,8.185,5317
9216773,31.928,4772
10746136,3.815,6116
6529860,11.963,6417
11014282,1.618,6435
12152988,6.079,6207
9590661,3.091,6432
5696590,3.237,6358
10849498,27.204,4705
11250301,15.647,5777
11036239,35.205,3821
10163713,12.377,5697
6451979,4.964,5711
3531315,21.199,5634
8813055,23.806,5326
6358701,24.837,5675
6939305,1.698,6395
8560652,15.114,5112
5197876,9.463,4794
3974277,12.021,6012
11570623,31.682,4368
9073131,14.431,4186
9182484,3.93,5979
11857691,21.457,5082
12735339,19.361,4151
10843735,13.645,5706
5031916,4.741,5969
11230757,23.155,6069
11973659,19.022,4339
4076697,8.378,4965
10659819,15.88,4996
10725005,17.468,5138
5528100,12.565,5585
5601728,26.13,5038
5554125,20.911,5919
7596634,4.565,5544
12456471,27.703,4226
6696289,27.499,5458
7909671,27.511,5262
8564441,5.956,5798
9821337,19.095,5334
2444517,26.095,4426
2443364,35.915,4013
11918886,20.434,5496
8058082,5.187,5774
9533670,11.435,5496
4042747,9.957,5224
6345900,31.632,5540
6836201,20.116,4527
8959288,9.964,5013
4158384,32.704,5231
5040378,25.799,4233
9474309,32.474,4979
9427948,26.903,4659
6445537,1.659,4729
5304359,13.368,5975
11137289,17.744,5707
7771108,26.359,4072
7838066,3.077,5935
5480080,12.682,4874
10965610,35.585,4065
10876218,27.191,4584
10252866,9.47,5057
3946621,2.64,5680
3755492,2.432,6442
5876377,10.837,5000
12006812,22.217,4813
11303308,23.08,5601
5597879,17.972,5713
10918030,20.771,5520
8936624,17.113,5903
11515221,1.649,6436
11237304,16.317,3679
4677281,5.73,5621
5609446,16.374,5957
9368360,12.776,5435
10779902,19.659,5561
9512046,24.97,5098
6699346,1.338,6461
5473087,18.717,4548
8565235,24.546,5636
6940255,9.827,5553
7707962,13.228,5458
3247798,10.424,5903
4176960,16.353,5053
11873934,19.136,4950
8847951,5.929,5360
8914991,10.253,5637
11769856,19.079,4925
7529513,17.526,4967
10591875,3.787,6347
8653845,27.99,4932
11822061,19.104,5052
10593098,7.579,5129
9520539,17.146,3779
11658482,13.904,5712
7451094,1.856,5562
5966921,5.155,3831
7509496,9.72,4113
4480672,23.054,5108
10394504,35.526,3942
4269291,3.801,6397
4826941,3.485,5748
6290811,2.828,3547
4540728,3.368,6026
8509736,3.441,5461
6450960,18.905,6243
9673870,4.992,5710
5271270,21.909,4204
11621607,18.16,5787
5950604,8.629,6214
10463780,20.45,5811
6442058,13.293,4685
11910019,19.556,4386
4929747,6.029,5002
11620172,6.092,6349
1865206,22.79,5160
10005692,18.009,6018
9995419,10.873,5789
9536371,26.058,4663
8415867,28.119,3868
8574557,10.487,4963
3328711,32.512,4290
2018492,29.61,4924
9512119,25.435,4210
9392121,13.768,5293
8621739,0.922,5940
10932301,33.746,4288
9303842,7.881,4777
3526481,14.559,5454
10388910,9.54,6061
6720216,25.645,4312
8625793,32.209,4870
7830340,20.904,5140
8487692,30.199,3550
12268089,17.152,5585
5640284,17.204,6060
6777781,19.53,4416
10666549,21.404,5809
7749368,19.565,5600
6611476,7.385,5687
8749306,10.833,4877
8394810,17.397,5624
7202027,14.407,4093
10880522,7.391,5742
1849547,21.583,5397
10721574,9.324,5869
10290600,19.381,5443
9993819,23.291,5309
11454321,17.142,5487
10619800,11.049,6340
4275254,15.144,3949
6880179,4.944,5646
10350396,13.052,5642
8395808,7.566,5881
8043361,8.264,5573
8824848,2.99,6116
8296359,14.262,5637
7817584,13.743,5988
12206116,10.773,5178
8424242,20.365,5088
7870750,2.791,5081
10733824,8.318,5849
3448897,6.916,5994
9142714,10.922,3511
7756113,21.382,5611
6599993,8.698,5930
8081822,10.121,5733
11910039,8.606,5447
3237993,5.142,5682
10723948,13.104,5701
11461798,30.232,5184
8360344,10.358,5114
7552119,2.991,5883
6974809,9.806,5331
9701988,20.273,5112
5351136,1.385,5108
8146507,23.83,5445
11774319,31.551,4747
10471005,20.61,5368
4176145,2.191,5685
8673358,1.032,3390
6195999,2.89,5258
11818740,15.433,5315
9157703,20.32,5387
9347432,22.366,4473
8717773,6.777,5563
6369237,22.953,5514
5004687,27.647,4651
10099790,17.957,3626
7428469,22.029,5756
8894525,10.729,5712
10425412,38.682,3580
8772148,21.915,5189
8331396,7.487,5917
8151196,18.758,6233
10644321,8.493,6046
3832499,13.01,4318
8636245,4.583,6041
5648350,14.488,4912
7900713,19.247,5535
7448760,8.642,5609
10292636,31.939,5036
3970457,4.976,5763
5722533,26.305,4785
11412096,19.602,3757
6111127,21.569,5598
9481106,11.271,5067
12009867,11.337,4968
9657772,14.643,4597
10350965,16.806,3901
12351666,34.856,5054
11245425,0.643,4622
6425024,24.232,4321
3356832,12.194,5485
10665178,2.43,4246
8841211,32.477,4220
3217410,16.603,4416
11568704,32.401,3757
9201790,26.063,5503
11669332,19.288,4682
7335938,13.694,4099
6204846,13.195,5749
8564484,14.042,5252
4845559,16.324,5314
5283113,20.208,4907
10579294,5.178,6292
8090473,18.323,6192
5937679,34.868,4223
5105118,15.304,5262
5693894,16.143,5075
8686010,20.371,4814
8508360,22.77,5242
5964734,19.405,4531
5032822,15.397,5586
6467490,2.279,6237
4545145,24.315,4204
11032573,22.962,4346
9823103,15.993,5289
6867551,27.635,5288
7502671,2.331,5958
10598186,27.37,4574
5597401,1.618,4288
8629722,8.623,5446
8039128,11.927,5668
6024170,6.671,5833
10553397,13.999,6164
12009642,2.235,5568
8329693,4.896,5946
7691204,20.442,5589
11413690,24.238,5626
3239557,12.832,5808
12455270,28.261,5042
3557197,1.962,6362
8247608,1.032,6246
9724348,12.413,5896
7586560,21.738,5036
5881276,8.495,6080
6362609,13.298,6442
8416409,12.164,4152
9411621,19.113,5610
11026269,9.54,4998
6803967,10.735,6133
9880787,20.927,5815
3353480,12.377,5515
6803898,6.328,5931
9959022,12.74,6232
7060028,2.175,5885
7133789,30.099,5462
7975408,17.226,5198
7838375,8.391,5460
11182210,24.939,5787
6150118,27.552,4457
10803430,20.038,3844
5270719,9.637,4891
11147887,23.808,6023
4818236,13.41,5242
8971874,24.081,5478
9662116,22.442,5257
7108863,12.319,5841
10483401,21.01,5693
8771592,25.508,4604
11656378,14.548,5942
10135168,11.923,5694
11598761,21.042,5335
6149138,2.436,5880
9029517,25.539,5079
11074131,17.096,5511
5167837,23.014,5193
11084931,25.184,5016
4351056,32.218,4783
4757871,30.119,5367
4381745,10.387,5324
4585976,1.627,5641
7772109,15.89,4200
5196646,1.044,6300
5339846,25.511,5524
5479971,7.775,5686
6144190,11.489,4316
10296496,13.691,5638
1725997,13.065,5671
5857836,0.555,6257
4755493,18.914,5778
12166411,21.2,5461
5718325,27.065,5281
9529741,24.829,4931
6115165,12.744,5673
12265246,12.38,4096
9456932,0.53,5620
5629172,21.222,5687
5788112,34.901,4166
5308270,8.671,5399
3342894,14.092,4118
7200457,16.428,5713
8545795,17.196,5820
9893496,25.235,4964
8938890,15.049,5440
11709867,28.912,4650
9519275,18.021,3579
7177517,1.181,5071
2140686,11.556,5918
6878459,9.124,6091
5481482,1.068,6246
2712178,17.496,5827
8431192,15.144,5885
5632118,19.441,5116
10082573,26.437,5288
6286296,32.697,5102
10678053,9.31,5365
3869311,14.835,5038
12306578,34.794,4872
5953556,8.999,6018
9029518,2.428,5727
8758021,31.599,4055
8263765,4.833,6211
6314495,15.463,5532
9881650,28.315,4817
9912689,15.544,3995
8916411,0.883,5470
8175266,15.272,5617
10988668,9.431,4999
10526152,12.578,4899
9149986,1.434,5319
6101173,25.463,5004
5980361,21.889,5030
9529322,30.235,5011
6265065,25.958,4866
6611775,10.045,5801
4640044,2.967,5709
9456901,6.514,5397
10842918,23.822,4864
7434449,10.949,4470
11958409,18.917,4802
4047976,25.558,4393
4178418,15.662,5377
5042015,4.549,5637
4831198,3.745,6132
11494280,35.807,4819
7282194,23.638,5859
10734057,27.694,3740
3742890,3.544,6361
7364934,16.433,4334
6615161,18.834,4294
6836871,13.841,5288
10789292,6.97,6028
4931864,1.569,6453
12056038,31.417,5141
6946839,31.68,4518
6720029,14.885,5202
5790645,31.097,5301
10790693,33.641,3819
9845245,3.649,6238
9663658,18.901,6137
9644954,31.839,5144
3545170,1.154,6460
6147636,30.94,5140
10750109,15.642,5572
6044117,17.834,3594
9179256,24.087,4683
6466312,2.97,5964
7916982,13.034,4175
5450334,38.705,4296
8193338,39.095,4471
6368662,19.407,5496
5375352,3.44,5794
8711820,25.882,4130
7347778,15.491,5099
11199179,23.162,5131
9578842,28.311,5339
7447776,10.43,5415
5395337,6.774,5077
7687855,25.623,5183
8028961,9.445,5457
8607834,14.193,6118
5480766,1.176,6318
7105518,19.64,5358
10862550,31.827,3542
7097328,38.487,4511
12071775,9.96,5648
4546432,11.41,5681
11128257,14.743,5656
5388485,6.817,5260
10621205,25.28,5505
11512772,16.136,5857
5950818,21.342,5567
8753627,14.919,5690
6505156,31.96,3937
9593572,15.737,3974
9873577,15.447,5969
8166835,3.681,6047
6956104,4.059,6259
4550909,0.719,4661
2858741,18.186,4792
12691956,14.137,4732
10419750,9.293,6136
7686674,18.993,5032
5458813,14.083,5723
10267063,14.33,5704
10879451,2.03,6415
4246554,14.204,4914
7625738,23.877,5568
11019579,20.685,5725
4573862,18.748,5483
9150451,31.382,4031
10083199,26.899,5391
8082525,4.765,5583
10850139,24.371,3850
6263801,12.917,4616
5646350,21.261,5464
2555568,10.841,4979
11340991,16.241,3666
4470289,21.628,5484
4904000,23.291,5678
3559482,26.626,5706
6675936,20.395,5357
11920538,7.244,6288
6431832,27.333,6078
9112164,19.957,3559
2162377,3.557,5540
9107802,20.582,4147
5198654,3.49,6313
9515073,12.946,5665
6758733,16.235,5750
6222157,37.218,4947
11460517,14.644,4195
10651911,20.561,5654
6777853,12.674,5241
12306506,20.081,5302
9451256,23.281,4875
5622300,5.596,6368
5009366,6.544,6317
5561896,20.543,5021
6444796,16.415,5603
6945529,19.381,5666
12603199,36.169,4200
9345655,20.22,5401
3747163,6.855,6269
7369181,15.405,4954
5564111,11.313,5559
12118886,5.878,5867
11121412,31.907,5169
5393984,1.17,6469
11955364,3.478,5489
5880666,9.533,5300
5351969,15.693,4769
5274142,19.129,5481
12006467,24.419,4107
8181415,10.603,5247
10032819,0.821,5124
10516029,24.837,5361
6774408,10.728,5703
2722098,2.989,5673
4069875,30.097,4884
5119861,20.572,4711
6766663,10.495,3851
4750406,22.33,4770
8212368,28.033,3998
9580749,23.404,4449
5106721,34.691,4680
6288823,4.737,6296
8235229,16.291,4355
11862479,17.909,5802
11909766,28.78,5061
4464825,7.238,5714
4446299,16.438,5355
6305938,13.616,5942
11867444,21.208,5134
5694225,37.973,4471
3654893,7.114,5477
10386925,14.441,4733
4570179,7.62,6053
2424682,37.424,4742
8143737,23.15,4778
6628328,21.272,5369
7817211,31.395,5063
9812640,26.886,4103
8552163,8.08,5740
7216493,11.389,5280
6604752,29.244,5209
10289452,25.407,5253
4850888,4.277,5716
6311382,1.094,6055
10225925,14.172,5955
9595575,20.182,5805
8711527,15.364,5297
11145819,4.33,3510
8630217,16.952,5679
7586653,23.959,5055
3248225,12.75,5683
6184059,16.061,3728
8482540,9.949,6359
3973209,19.259,5571
11868006,20.459,5444
11087095,0.78,4109
11141026,5.371,5327
6071803,9.967,5985
10922914,9.937,5494
8866038,8.952,4912
9405858,3.137,6393
5866969,23.86,4755
8683882,28.436,4073
4661301,11.107,5519
7121724,30.308,4972
7173075,33.446,4409
6543441,2.752,6158
10718967,27.493,4123
9897031,2.994,6384
10927708,23.482,4533
10516426,9.374,5356
5473443,18.633,4596
9662773,8.766,5405
6961441,12.041,5586
9639250,2.834,5379
10319285,34.415,4740
6128801,17.92,4632
8581232,2.519,4314
5376851,18.218,5594
11649561,11.099,5317
10618797,32.979,4171
7464869,8.471,5736
3855097,4.89,6244
8143238,15.207,5716
11571485,21.844,5097
7691764,29.487,5235
7908416,3.17,5740
4543822,7.842,6038
10399244,17.073,5103
8894425,13.791,5678
5444276,0.706,6302
4181211,14.957,5454
5093410,20.184,4814
1575580,15.968,6095
4345018,12.67,5257
6508436,2.139,5486
5983877,17.278,5456
7978202,29.991,4829
6294443,20.186,5054
6147108,2.799,6213
12365726,25.674,4871
11241000,14.193,5371
7872098,3.746,5116
4771030,1.198,6216
8024188,23.849,5593
10592106,10.285,5742
7466603,27.494,4628
3543989,6.816,5904
9352074,20.985,5549
11722254,13.582,5744
12355558,14.09,4832
11970981,21.98,6111
6956886,13.333,6044
7662784,23.415,5120
12012876,5.755,6052
9005138,32.846,4313
5460990,2.286,5730
9268259,24.702,5235
7117293,2.726,3377
11566903,31.028,4801
5544326,32.29,4812
10556443,13.218,6243
5481001,7.982,5998
10677896,15.888,5295
10001688,24.96,4604
9093763,2.206,3323
11855817,11.11,6080
3830783,8.978,5850
6026138,14.273,5939
3550411,11.087,4737
9031086,29.242,6361
9613610,13.485,4758
9904937,16.951,5623
7192111,10.81,6262
10468976,21.786,5180
5080470,22.086,4054
5110832,26.574,3415
3838258,10.464,5418
3230050,19.095,5737
3858156,34.278,4928
6705695,20.976,3861
10090373,7.888,5816
5633131,31.019,5046
11442047,29.179,3796
9996478,21.662,4312
11395425,6.741,5913
9821382,3.792,6063
4540592,22.478,5103
7009210,8.56,5627
5899323,25.489,5128
11569968,8.0,6221
3964492,17.174,4186
6344375,6.967,4436
8328826,25.434,4783
3232965,21.092,5572
9340944,32.396,4619
7219691,16.961,5464
10611888,16.144,5756
8360716,11.487,5356
10330818,8.544,4344
3852328,22.436,5251
5981595,15.91,5902
6591653,38.548,4777
5791390,11.481,5030
4136396,18.676,5090
10864215,5.303,6223
6196918,32.99,3525
7836298,37.618,4740
3325261,20.322,5128
7459154,13.375,5664
7915993,8.82,6091
9966073,11.416,5827
9724519,30.29,4741
5696797,13.449,4632
8325950,13.335,5327
7836169,5.042,6154
4750012,17.049,5437
6431497,16.447,4740
10222042,30.428,4315
3538913,25.627,4843
5614968,35.494,4228
5784457,10.096,5607
4946811,7.26,5386
2021099,0.518,5794
4280515,26.954,3940
10230420,16.603,4831
8167504,23.223,5648
9812212,25.496,5391
5300919,8.218,5752
6868860,21.155,5043
11606040,19.467,5709
4756072,23.62,5524
10482948,12.997,6139
11069343,16.363,4785
9467895,13.691,4624
7198834,0.57,5749
6446039,20.496,5634
6932209,31.925,4766
4280487,12.26,6114
3432028,2.362,6422
5004189,23.717,5724
7839705,5.17,5366
9778578,25.766,4833
4179525,20.777,3827
8282807,20.307,5469
4949769,1.57,5737
4543171,13.585,6351
3448058,21.098,5297
11859256,17.847,3842
11560911,6.544,5878
12154155,14.178,4524
8950549,25.399,5555
6585068,24.837,5665
2997925,15.763,5296
10979218,9.071,6017
5788363,5.033,6490
10414643,22.208,5734
7255821,13.645,4080
5860296,18.597,5822
5802955,2.666,6302
3347804,13.857,5689
5281643,6.747,6300
11351268,25.494,5376
8937106,8.321,5558
8232121,18.995,4162
7024569,20.425,5317
6364161,12.304,6017
11032452,13.127,6086
11713884,35.029,3719
9662713,11.655,5857
9729451,22.117,5132
11357898,28.546,4160
10424717,8.853,6026
7880981,14.869,5323
8766832,24.233,4362
10709349,12.356,5798
10583032,13.26,4192
12456181,29.17,4849
1570191,18.647,5553
12301266,21.13,5128
9534366,18.665,5265
7509618,9.287,5667
8192427,2.949,5788
11033434,10.537,5857
10803136,22.187,5420
9963916,12.634,4930
